source_id,first_detection,last_detection,total_detections,active_days,mean_frp,max_frp,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,observation_days
SOURCE_0132,2026-08-20 00:00:00+00:00,2026-08-21 00:00:00+00:00,4,2,0.69,0.9,1.0,0.2857142857142857,4.0,8.0,11.313708498984761,0.0,0.0,24.0,0.08121030314161228,2,2,2,7
SOURCE_0133,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,0.7,0.7,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0134,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,0.64,0.64,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0135,2026-08-19 00:00:00+00:00,2026-08-21 00:00:00+00:00,3,3,1.7166666666666668,2.12,2.0,0.42857142857142855,1.5,24.0,0.0,24.0,24.0,24.0,1.0,3,3,3,7
SOURCE_0136,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.52,1.52,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0137,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.19,1.19,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0138,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,0.44,0.44,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0139,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.03,1.03,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0140,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,2.79,2.79,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0141,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,2,1,6.08,6.08,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0142,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,2,1,6.32,6.32,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0143,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,1.97,1.97,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0144,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,5.18,5.18,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0145,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,4,1,3.9275,5.13,0.0,0.14285714285714285,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0146,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,2,1,5.675,8.67,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0147,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,5.01,5.01,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0148,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,2,1,4.715,4.79,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0149,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,1.97,1.97,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0150,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,7.12,7.12,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0151,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,3.79,3.79,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0152,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,2.45,2.45,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0153,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,2.83,2.83,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0154,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,2,1,5.045,5.53,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0155,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,3.52,3.52,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0156,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,1.0,1.0,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0157,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,1.93,1.93,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0158,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,6,1,6.273333333333333,13.76,0.0,0.14285714285714285,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0159,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,2,1,3.645,3.91,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0160,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,7.37,7.37,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0161,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,2.3,2.3,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0162,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,1.88,1.88,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0163,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,2.64,2.64,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0164,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,5.59,5.59,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0165,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,3.79,3.79,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0166,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,3.04,3.04,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0167,2026-08-21 00:00:00+00:00,2026-08-21 00:00:00+00:00,1,1,4.7,4.7,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
